PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,alone,deck,has_deck,Surname,Title,n_fam,FamilyID,Family_Survival_Rate
1,No,Third,"Braund, Mr. Owen Harris",male,Young Adults (19-30),1,0,A/5 21171,7.25,UNK,S,False,UNK,0,Braund,Mr,1,-1,-1
2,Yes,First,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,Adults (31-45),1,0,PC 17599,71.2833,C85,C,False,C,1,Cumings,Mrs,1,-1,-1
3,Yes,Third,"Heikkinen, Miss. Laina",female,Young Adults (19-30),0,0,STON/O2. 3101282,7.925,UNK,S,True,UNK,0,Heikkinen,Miss,0,-1,-1
4,Yes,First,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,Adults (31-45),1,0,113803,53.1,C123,S,False,C,1,Futrelle,Mrs,1,14,0
5,No,Third,"Allen, Mr. William Henry",male,Adults (31-45),0,0,373450,8.05,UNK,S,True,UNK,0,Allen,Mr,0,-1,-1
6,No,Third,"Moran, Mr. James",male,Young Adults (19-30),0,0,330877,8.4583,UNK,Q,True,UNK,0,Moran,Mr,0,-1,-1
7,No,First,"McCarthy, Mr. Timothy J",male,Middle Age (46-60),0,0,17463,51.8625,E46,S,True,E,1,McCarthy,Mr,0,-1,-1
8,No,Third,"Palsson, Master. Gosta Leonard",male,Infants (0-12),3,1,349909,21.075,UNK,S,False,UNK,0,Palsson,Master,4,-1,-1
9,Yes,Third,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,Young Adults (19-30),0,2,347742,11.1333,UNK,S,False,UNK,0,Johnson,Mrs,2,27,1
10,Yes,Second,"Nasser, Mrs. Nicholas (Adele Achem)",female,Teens (13-18),1,0,237736,30.0708,UNK,C,False,UNK,0,Nasser,Mrs,1,35,0
11,Yes,Third,"Sandstrom, Miss. Marguerite Rut",female,Infants (0-12),1,1,PP 9549,16.7,G6,S,False,G,1,Sandstrom,Miss,2,-1,-1
12,Yes,First,"Bonnell, Miss. Elizabeth",female,Middle Age (46-60),0,0,113783,26.55,C103,S,True,C,1,Bonnell,Miss,0,-1,-1
13,No,Third,"Saundercock, Mr. William Henry",male,Young Adults (19-30),0,0,A/5. 2151,8.05,UNK,S,True,UNK,0,Saundercock,Mr,0,-1,-1
14,No,Third,"Andersson, Mr. Anders Johan",male,Adults (31-45),1,5,347082,31.275,UNK,S,False,UNK,0,Andersson,Mr,6,1,0
15,No,Third,"Vestrom, Miss. Hulda Amanda Adolfina",female,Teens (13-18),0,0,350406,7.8542,UNK,S,True,UNK,0,Vestrom,Miss,0,-1,-1
16,Yes,Second,"Hewlett, Mrs. (Mary D Kingcome) ",female,Middle Age (46-60),0,0,248706,16.0,UNK,S,True,UNK,0,Hewlett,Mrs,0,-1,-1
17,No,Third,"Rice, Master. Eugene",male,Infants (0-12),4,1,382652,29.125,UNK,Q,False,UNK,0,Rice,Master,5,-1,-1
18,Yes,Second,"Williams, Mr. Charles Eugene",male,Young Adults (19-30),0,0,244373,13.0,UNK,S,True,UNK,0,Williams,Mr,0,-1,-1
19,No,Third,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,Adults (31-45),1,0,345763,18.0,UNK,S,False,UNK,0,Vander Planke,Mrs,1,-1,-1
20,Yes,Third,"Masselmani, Mrs. Fatima",female,Young Adults (19-30),0,0,2649,7.225,UNK,C,True,UNK,0,Masselmani,Mrs,0,-1,-1
21,No,Second,"Fynney, Mr. Joseph J",male,Adults (31-45),0,0,239865,26.0,UNK,S,True,UNK,0,Fynney,Mr,0,-1,-1
22,Yes,Second,"Beesley, Mr. Lawrence",male,Adults (31-45),0,0,248698,13.0,D56,S,True,D,1,Beesley,Mr,0,-1,-1
23,Yes,Third,"McGowan, Miss. Anna ""Annie""",female,Teens (13-18),0,0,330923,8.0292,UNK,Q,True,UNK,0,McGowan,Miss,0,-1,-1
24,Yes,First,"Sloper, Mr. William Thompson",male,Young Adults (19-30),0,0,113788,35.5,A6,S,True,A,1,Sloper,Mr,0,-1,-1
25,No,Third,"Palsson, Miss. Torborg Danira",female,Infants (0-12),3,1,349909,21.075,UNK,S,False,UNK,0,Palsson,Miss,4,-1,-1
26,Yes,Third,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,Adults (31-45),1,5,347077,31.3875,UNK,S,False,UNK,0,Asplund,Mrs,6,-1,-1
27,No,Third,"Emir, Mr. Farred Chehab",male,Young Adults (19-30),0,0,2631,7.225,UNK,C,True,UNK,0,Emir,Mr,0,-1,-1
28,No,First,"Fortune, Mr. Charles Alexander",male,Young Adults (19-30),3,2,19950,263.0,C23 C25 C27,S,False,C,1,Fortune,Mr,5,-1,-1
29,Yes,Third,"O'Dwyer, Miss. Ellen ""Nellie""",female,Young Adults (19-30),0,0,330959,7.8792,UNK,Q,True,UNK,0,O'Dwyer,Miss,0,-1,-1
30,No,Third,"Todoroff, Mr. Lalio",male,Young Adults (19-30),0,0,349216,7.8958,UNK,S,True,UNK,0,Todoroff,Mr,0,-1,-1
31,No,First,"Uruchurtu, Don. Manuel E",male,Adults (31-45),0,0,PC 17601,27.7208,UNK,C,True,UNK,0,Uruchurtu,Don,0,-1,-1
32,Yes,First,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,Adults (31-45),1,0,PC 17569,146.5208,B78,C,False,B,1,Spencer,Mrs,1,-1,-1
33,Yes,Third,"Glynn, Miss. Mary Agatha",female,Young Adults (19-30),0,0,335677,7.75,UNK,Q,True,UNK,0,Glynn,Miss,0,-1,-1
34,No,Second,"Wheadon, Mr. Edward H",male,Elderly (60+),0,0,C.A. 24579,10.5,UNK,S,True,UNK,0,Wheadon,Mr,0,-1,-1
35,No,First,"Meyer, Mr. Edgar Joseph",male,Young Adults (19-30),1,0,PC 17604,82.1708,UNK,C,False,UNK,0,Meyer,Mr,1,31,0
36,No,First,"Holverson, Mr. Alexander Oskar",male,Adults (31-45),1,0,113789,52.0,UNK,S,False,UNK,0,Holverson,Mr,1,25,0
37,Yes,Third,"Mamee, Mr. Hanna",male,Young Adults (19-30),0,0,2677,7.2292,UNK,C,True,UNK,0,Mamee,Mr,0,-1,-1
38,No,Third,"Cann, Mr. Ernest Charles",male,Young Adults (19-30),0,0,A./5. 2152,8.05,UNK,S,True,UNK,0,Cann,Mr,0,-1,-1
39,No,Third,"Vander Planke, Miss. Augusta Maria",female,Teens (13-18),2,0,345764,18.0,UNK,S,False,UNK,0,Vander Planke,Miss,2,-1,-1
40,Yes,Third,"Nicola-Yarred, Miss. Jamila",female,Teens (13-18),1,0,2651,11.2417,UNK,C,False,UNK,0,Nicola-Yarred,Miss,1,38,1
41,No,Third,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,Adults (31-45),1,0,7546,9.475,UNK,S,False,UNK,0,Ahlin,Mrs,1,-1,-1
42,No,Second,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,Young Adults (19-30),1,0,11668,21.0,UNK,S,False,UNK,0,Turpin,Mrs,1,49,0
43,No,Third,"Kraeff, Mr. Theodor",male,Young Adults (19-30),0,0,349253,7.8958,UNK,C,True,UNK,0,Kraeff,Mr,0,-1,-1
44,Yes,Second,"Laroche, Miss. Simonne Marie Anne Andree",female,Infants (0-12),1,2,SC/Paris 2123,41.5792,UNK,C,False,UNK,0,Laroche,Miss,3,-1,-1
45,Yes,Third,"Devaney, Miss. Margaret Delia",female,Young Adults (19-30),0,0,330958,7.8792,UNK,Q,True,UNK,0,Devaney,Miss,0,-1,-1
